text,label,app,date,char_length,word_count
oke lah cuma di saya gak ada dana instan nya gimana itu caranya biar ada dana instan nya,netral,DANA,2026-05-18 16:08:03,88,18
PUAS👍👍👍👍👍👍👍,senang,Shopee,2026-05-16 11:40:10,11,1
"memilih pengantaran gofood biasa, di jam sebelum 20.30 dan resto tutup di jam 21.00, di aplikasi pesanan sedang dipersiapkan tapi baru dapat driver di jam 21.10 dan driver menuju resto dan mengabarkan resto sudah tutup. pihak resto mengabarkan pesanan masuk disaat pihak driver datang. lucu sekali aplikasi ini sekarang, waktu pake pengantaran ekpresa gk sampe satu menit udh dpt driver menuju resto sedangkan pengantaran biasa estimasi satu jam baru dpt driver menuju resto di 10 menit terakhir.",netral,Gojek,2026-04-29 21:47:24,496,77
"kenpa bisa saldo gk ada masuk, teman sy transfer ke sy sesama pengguna ovo, di keterangan nya berhasil terkirim, sampai skrang gk ada masuk2. tolong tanggapan nya",senang,OVO,2026-02-23 06:43:22,162,27
"bagus aplikasi shoppe nya setiap belanja pasti dapat voucher,diskon, potongan harga enak banget apalagi kalau ada barang 0 rupiah itu bener nyata",stres,Shopee,2026-05-17 14:30:43,145,22
simple tidak ribet 👍👍👍,stres,Shopee,2026-05-24 18:09:52,22,4
saya suka belanja di shopee tapi sudah 2 hari ini akun shopee saya tidak bisa aktif lagi padahal saya mau cek pesanan saya.tolong gimana caranya biar shopee saya bisa dipake lagi.trima kasih.,stres,Shopee,2026-05-28 16:12:04,191,32
ga ada gratis ongkir lg. payah.!,marah,Tokopedia,2026-04-10 22:55:27,32,6
"Lumayan... trnsaksi baik,karna slama blanja olalain di sopi,,aman dan lancar,tpi garansi tiba tak pernah amanah,tgl pengrim slalu ber ubah2 dan di perpanjang😩",netral,Shopee,2026-05-22 10:43:54,158,22
tokopedia T nya tolol paket saya mau di pick up sama driver gojek di cancel terus sama sistem jadi lama ke kirimnya,marah,Tokopedia,2026-02-13 13:16:55,115,22
"payah aplikasi nya skrg, beli barang 3 pcs. 1 barang status sudah diterima tapi saya blm terima barang nya, 2 barang lagi ga tau kejelasan pengirimannya. eta nya tgl 18 tp sampe skrg 2 barng blm dtg.. mending pindah ke opsi laen aja dah,",marah,Tokopedia,2026-03-18 22:00:08,237,44
Tiktok memang bagus terbaik tapi saya yg bikin susah top up coin,senang,TikTok,2024-04-04 10:33:31,64,12
"boneka lucu dgn harga menarik oke bgt buat semua bisa,dgn model lucu2 bgt",netral,Tokopedia,2025-12-25 17:16:40,73,13
"tokopedia 👎mau lihat sisa saldo saja dipersulit ... ada sisa saldo mau dipakai beli barang tidak bisa ,tapi di suruh bayar pakai transfer lagi...👎 di shopee hal ini tidak ada👍, sistem lebih bagus shopee....👍",stres,Tokopedia,2026-02-03 10:38:12,207,34
perjalanan praktis,netral,Gojek,2026-05-18 14:59:45,18,2
aplikasi tolol sering gaguan terus lol,marah,OVO,2026-02-18 08:22:31,38,6
"Sangat tidak suka dengan shoppe foodnya ,sudah 2 kali tidak minta konfirmasi untuk pembelian voucer makanan tiba2 transaksi sudah berhasil buat jengkel saja!!!!!!",marah,Shopee,2026-05-28 11:48:51,162,23
"sangat di rekomendasikan buat kita yg perlu barang'' yg tidak ada di daerah kita, kita pesan sesuai keinginan kita cepat, praktis dan mudah hanya di Shopee 👍🌟🌟🌟🌟🌟",netral,Shopee,2026-05-28 13:32:00,162,27
"aplikasi bermasalah terus, payah",marah,OVO,2026-01-11 14:27:22,32,4
"Saya harap aplikasi ini berjalan lebih lancar dan tidak ngeleg. apalagi yang perlu diketahui, hp ibuku saja ngeleg bukan main pas buka map di gojek",netral,Gojek,2026-03-24 15:13:36,147,25
Hallo min biasanya gangguan dana brpA lama,netral,DANA,2026-05-23 06:39:10,42,7
"so sory, apk ini awalnya bagus bgt bisa ngebantu banyak hal. but makin kesini makin GAJELAS SISTEMNYA. kasian customer susah bgt dapet drivernya, pdhal di sisi lain para driver juga pada ga dapet orderan. DIPERBAIKI!!! jangan sampe gara² udh punya nama, jadi asal asalan pelayanannya",netral,Gojek,2026-03-29 12:03:09,283,45
"kenapa ovo aq ga bisa di buka aplikasinya ya,padahal masih ada saldo 20ribu.Buka di playstor jg g ada pemberitahuan di suruh update,mau belanja sekali cari pembayaran yg dulunya bisa lewat ovo sekarang ga ad,lumayan 20ribu itu kalo bagi saya hilang begitu aja.Bagaimana ini???",netral,OVO,2026-03-18 16:02:17,276,43
"senang sekali , ini sangat bagus tebal n pas d pakai",senang,Shopee,2026-05-23 16:45:38,52,11
klo barang dibatalkan karena barang tokonya habis atau kosong tolong dong biaya admin semuanya d balikin bikin rugi pembeli,sedih,Tokopedia,2026-04-09 16:18:43,123,19
bagus sihh cuman aku sering udah pesen tapi itu kepesen lagi itu buat kita bayar dua kali atau di marahin padahal gw gak pesen dua tapi Dateng nya dua,marah,Gojek,2026-04-20 19:17:52,150,29
"Saya bayar, sebelum bayar udah dipastikan voucher nempel. Pas udah bayar, malah voucher gak dihitung nempel & gak dpt cashback. Aplikasi Penipu!! 👎👎👎👎👎 sekarang ditambah lelet banget aplikasinya. 👎👎👎👎👎",stres,Gojek,2026-04-01 02:20:02,201,29
akhir akhir ini aplikasi lemot entah sengaja biar beralih ke tiktok,stres,Tokopedia,2026-02-08 19:52:32,67,11
selama pakai ovo uang aman sukses terus ovo semoga JD dompet digital no 1 di Indonesia,senang,OVO,2026-04-24 19:23:19,86,16
Layanan Pengiriman pilihan lebih bervariasi lagi tapi layanan cod dari seller nya payah banget,marah,Tokopedia,2026-04-17 19:54:32,94,14
"aplikasi ini memang membantu tetapi aku merasa risih karena setiap kali main game selalu ada pintasan iklan dari aplikasi ini aku jadi benci banget , bahkan kalo ada bintang minus aku bakalan kasih -100 , siapalah manusia yg menciptakan shopee ini , memang gak berguna.",marah,Shopee,2026-05-28 11:16:42,269,45
"ga rekomendasi si kalo mau pake mending pake E-walet lain dah kaya gopay atau dana,ga ngotak potongan nya serba gede gila udah di potong inilah itu lah mana suka lemot lagi ,udh mendingan gawsh donlod sumpah selalu ada potongan Dimana² 😡",stres,OVO,2026-01-29 08:54:56,237,41
"Tiktok sekrng jelek kurang bagus udh ngk bisa di buka kalau di buka CMN logo tiktok yg kluar hitam trus,,,masa biar normal lagi harus apus aplikasi trus download ulang sih tolong di perbaiki aplikasi tiktokx",sedih,TikTok,2024-09-18 14:14:01,207,35
mantap dana,senang,DANA,2026-05-29 19:34:18,11,2
"DANA sangat membantu dlm berbagaii transaksi, & juga alhamdulillah saldo aman tdk seperti kita menyimpan saldo di rekening selalu berkurang",senang,DANA,2026-05-29 19:31:53,139,20
sungguh sangat memuaskan,senang,DANA,2026-05-29 15:58:12,24,3
"belanja disini sangat praktis ya,gak perlu keluar rumah karena udah ada cod cek dulu,bila tidak sesuai maka bisa kita pulangkan.ongkirnya pun free",netral,Shopee,2026-05-25 20:53:36,146,22
aku udah gamau lagi pake Dana Karna tiap diisi pasti kesedot lagi buat dananya. pokoknya gamau lagi,stres,DANA,2026-05-28 20:59:40,99,17
terpaksa saya kasih bintang 1 sekarang shopee nambah jelek pengembalian dananya itu sangat dipersulit padahal saya sudah ngirim barang ke penjualnya terus itu tiba-tiba pengajuannya itu ditolak barangnya saya tidak bawa lagi dan uang tidak kembali saya sudah dirugikan dengan shopee dan kurirnya juga nggak ada ramah padahal paket sudah diantar sekarang malahan dikirim besok emang kurir xpx emang jelek beda dengan j&t pengirimannya sangat cepat dan kurirnya ramah mendingan belanja di tiktok shop a,sedih,Shopee,2026-05-16 17:22:08,500,75
